k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
0,0.640688002263059,0.640688002263059,4.662016796262653,1.847150050377488,7.790542851166259,20.00005101944476,20.00005101944476,20.00000269735009,20.0,0.1265963213314517
1,0.2083331352111131,0.6081518335827026,3.255996761704791,0.1482945695917297,4.2207763000903356,19.35521256004195,18.06559530048968,19.00881068719547,19.00684526931789,0.06858761487646796
2,0.39119433832628564,0.48718634041992365,2.908532244005301,1.674282290174524,5.461195212926034,19.13605420296142,18.25953434177848,19.00018349695302,19.00057847883058,0.08874442221004805
3,0.40156968420376976,0.1853886024676521,2.943851246756114,1.077650116923127,4.608459650350663,19.05265268496095,17.51190898251078,19.00000728678252,19.00137464084754,0.07488746931819827
4,0.448487421068383,0.2911904097008371,3.112167861464182,1.3408902742644129,5.192735966497815,19.0202019986556,17.57766197048426,18.99999975073666,19.00096804129667,0.0843819594555895
5,0.4789319508413659,0.14848153279560072,3.3144801366110928,1.4243246921030441,5.366218312351103,19.00765494123736,17.46249886712506,18.99999935860974,19.00113288672614,0.08720104757570543
6,0.5006256727436513,0.1275865164007015,3.509658616210682,1.486905794675735,5.62477660003077,19.00286776110231,17.23801805902781,18.9999986562481,19.00090175794755,0.09140261975050001
7,0.5197611819320905,0.1565311994536547,3.680699584063557,1.545573861343368,5.90256582679267,19.00655133808687,17.0924954044071,18.99999800192493,19.00087376593015,0.09591669468538089
8,0.5362267420337337,0.1974733372927076,3.830714606629832,1.599183253939813,6.1635979398960865,19.00704851189322,17.03601714114334,18.99999747821357,19.00075271637919,0.10015846652331141
9,0.5486547956497911,0.2249615573995118,3.956394493328959,1.6403403568866741,6.370351203264936,19.00692298602323,17.01420354621377,18.99999697986194,19.00065875905727,0.10351820705305521
10,0.5582670521368198,0.2471688935564534,4.061222241920037,1.669045021510392,6.535703209123702,19.00712410984742,17.00574458065835,18.99999658250394,19.00066867352723,0.10620517714826017
11,0.5663969996738139,0.2641530123308049,4.1515812685528255,1.69431795212291,6.676449232680355,19.0073595240023,17.00236017732025,18.9999963701469,19.0006597159244,0.10849230003105577
