k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
0,0.640688002263059,0.640688002263059,4.662016796262653,1.847150050377488,7.790542851166259,20.00005101944476,20.00005101944476,20.00000269735009,20.0,0.1265963213314517
1,0.199909950414147,0.199909950414147,3.1197122162761257,1.723684787640242,5.243216904744662,18.7104029806409,18.7104029806409,18.113387341751,18.11784977556839,0.08520227470210076
2,0.3421801252012431,0.3421801252012431,1.839369335369742,1.288468786670451,3.8121983724426793,18.52632901472026,18.52632901472026,18.00137843877061,18.00731850496735,0.061948223552193545
3,0.22135624335622878,0.22135624335622878,1.66117944980902,0.2463151612338697,2.3502070977553475,18.3479318544368,18.3479318544368,18.00035843422177,18.00009357692487,0.0381908653385244
4,0.2385269179647916,0.2385269179647916,1.780115834222996,0.6290558581907535,2.8862255283433322,18.14342056171765,18.14342056171765,18.00055228663706,18.00000300350419,0.04690116483557915
5,0.2971628552147311,0.2971628552147311,1.949048811846551,0.7502373931165858,3.293611915392599,18.05898139632238,18.05898139632238,18.00072237559667,18.00000011539405,0.053521193625129734
6,0.32065327541574157,0.32065327541574157,2.110911516560953,0.8329321874478196,3.5851502548402556,18.02403211996129,18.02403211996129,18.00057965193252,18.00000000493349,0.05825869164115416
7,0.342119839781241,0.342119839781241,2.269145352070103,0.9032867900815074,3.8566718217140923,18.00985117456397,18.00985117456397,18.00034489638876,18.00000000023032,0.062670917102854
8,0.36450889671101694,0.36450889671101694,2.426741477756099,0.9642680558383804,4.120027327016514,18.00399406578149,18.00399406578149,18.00010142102566,18.00000000001158,0.06695044406401834
9,0.38048889118180396,0.38048889118180396,2.569141099312722,1.007187076951999,4.337305958628329,18.00161736256707,18.00161736256707,18.00001178611213,18.00000000000062,0.07048122182771036
10,0.3954916903665713,0.3954916903665713,2.701971911388926,1.0367106666369221,4.529665958758991,18.0006383174386,18.0006383174386,18.0000010024493,18.00000000000003,0.0736070718298336
11,0.4092207398615177,0.4092207398615177,2.831211168605478,1.062938308367477,4.7125909566959905,18.00024900959878,18.00024900959878,17.99999952409972,18.0,0.07657960304630985
12,0.4215583416294801,0.4215583416294801,2.953738491764525,1.082532158471062,4.879387333494547,18.00009731118089,18.00009731118089,17.99999915077693,18.0,0.0792900441692864
13,0.44328794878310074,0.44328794878310074,3.092838291449886,1.138159354259195,5.117573543275283,18.0000382518231,18.0000382518231,17.99999887504559,18.0,0.08316057007822335
14,0.46444013857892297,0.46444013857892297,3.235030316729235,1.1901839333391482,5.35409452722623,18.00001577861565,18.00001577861565,17.99999864541557,18.0,0.08700403606742624
15,0.48497147630365073,0.48497147630365073,3.374819993003105,1.241825901548691,5.586588847159097,18.00000741925923,18.00000741925923,17.9999984589008,18.0,0.09078206876633534
16,0.5049245756581191,0.5049245756581191,3.509673483147395,1.293269344444758,5.8127919789083915,18.00000442736876,18.00000442736876,17.99999831022576,18.0,0.09445786965726137
17,0.5040385757306701,0.5040385757306701,3.5878291168008443,1.2728925332767789,5.868798801538963,18.00000338341368,18.00000338341368,17.99999828326501,18.0,0.09536798052500815
18,0.500682645760871,0.500682645760871,3.6350888293360724,1.2613599354411489,5.897814056298963,18.00000334371377,18.00000334371377,17.99999849505723,18.0,0.09583947841485815
19,0.49716222406100347,0.49716222406100347,3.666946529362497,1.253125553510596,5.9143965309951,18.00000381290393,18.00000381290393,17.99999875859413,18.0,0.09610894362867038
20,0.4938010748826322,0.4938010748826322,3.692694258776588,1.2479652339939489,5.9282616425358015,18.00000442579382,18.00000442579382,17.99999896453318,18.0,0.09633425169120678
21,0.8727358210852699,0.8727358210852699,3.742532592874432,1.885566502253612,7.373570737298584,18.00000813025218,18.00000813025218,17.9999991030675,18.0,0.11982052448110199
22,0.45407945642642616,0.45407945642642616,3.804880296327042,1.912851206193925,6.625890415373819,18.00000299032839,18.00000299032839,17.99999978514525,18.0,0.10767071924982456
23,0.22237353076031519,0.22237353076031519,3.872268939889084,1.939742229331511,6.256758230741225,18.00000121364868,18.00000121364868,18.0000003447926,18.0,0.10167232124954491
24,0.6160746558969332,0.6160746558969332,3.9401405697182548,1.966166867387684,7.138456748899805,18.0000794552437,18.0000794552437,18.00000053363989,18.0,0.11599992216962184
25,0.31848573870816105,0.31848573870816105,4.000642383310285,1.375605124846392,6.013218985572999,18.00004245781104,18.00004245781104,18.00000052249433,18.0,0.09771480851556125
26,0.3336973996558947,0.3336973996558947,4.066770324435312,1.409405655740113,6.143570779487215,18.00001412684545,18.00001412684545,18.00000188991188,18.0,0.09983302516666724
