k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
0,0.640688002263059,0.640688002263059,4.662016796262653,1.847150050377488,7.790542851166259,20.00005101944476,20.00005101944476,20.00000269735009,20.0,0.1265963213314517
1,0.2083331352017314,0.6081518335850699,3.255996761693257,0.1482945643734857,4.220776294853544,19.35521256002713,18.06559530048593,19.00881068718719,19.00684526629405,0.0685876147913701
2,1.8401691695432272,1.839369470158209,6.533181567795687,6.103273573006878,16.315993780504,21.60396614790211,20.5205463940684,21.81640902873052,21.74697914885341,0.26513489893319003
3,1.641887067698463,1.2714975027463131,4.623645047790177,0.6900946663174836,8.227124284552437,22.55609751492165,21.50781021960548,19.17790747795292,20.16522269940622,0.1336907696239771
4,1.659598792276257,1.385499834654106,4.891532421912042,2.002946894416105,9.93957794325851,22.86183955560528,21.84229805635737,20.46299104806722,19.37072842273298,0.16151814157795077
5,1.548909565291377,1.307161602085692,4.174105331945855,2.0365575520620522,9.066734051384977,22.95682854100661,21.94953424333904,19.01213189567212,19.56560598980247,0.14733442833500587
6,1.449299018188095,1.233544988184486,3.693088959861459,0.5737375463612989,6.949670512595339,22.98640148655375,21.9837597237389,19.30416567062121,19.01515457435396,0.11293214582967426
7,1.374061003481279,1.177963650645353,2.9368870635647557,1.661619185202107,7.150530902893495,22.9956838824679,21.99474190256868,19.0119361217119,19.00129653363332,0.1161961271720193
8,1.321880353179582,1.141220371911029,3.675243427380865,1.335995240252301,7.474339392723777,22.99862113395206,21.9982892993069,19.05822252023113,19.00008594927501,0.12145801513176137
9,1.2758799211950562,1.108307455496049,3.527256843400512,1.480763774143521,7.392207994235138,22.99955548344476,21.99944007349986,19.00625959958644,19.00089854910981,0.12012337990632099
10,1.2367981490628641,1.0801856873941782,3.665727485053126,1.5266588382580122,7.50937015976818,22.99985475059967,21.99981528887391,19.01183916846845,19.00062818917855,0.12202726509623292
11,1.200758228633332,1.056204035636712,3.720436658164351,1.568061825243535,7.54546074767793,22.99597267276581,21.99993870773397,19.00125082681446,19.00065477508335,0.12261373714976637
12,1.167917582794965,1.0356347675459139,3.840019218684523,1.603296811810993,7.646868380836395,22.9874079438928,21.99997956974498,19.00186621744677,19.00065163246462,0.12426161118859141
13,1.152618096562983,1.02892663709278,3.972755020734477,1.671064034339557,7.825363788729798,22.97929331325781,21.99999334550508,19.00019179315239,19.00064498542163,0.12716216156685922
14,1.141510907441729,1.024868351443425,4.11663985508396,1.728969280021422,8.011988393990537,22.97241592351132,21.99999819385146,19.00001690281465,19.00077434553201,0.13019481140234623
15,1.143527846443884,1.0155215485296631,4.252241451344883,1.7842303407832072,8.195521187101637,22.98075390427567,21.9890472204574,18.99999869627993,19.00089489129079,0.1331772192904016
16,1.1091333792262201,0.8036064824695628,4.379496335726759,1.8423404669157901,8.134576664338331,22.94167756738533,21.66825265330708,18.99999678338845,19.00335046149202,0.13218687079549787
17,0.9094663331371431,0.7998733637827009,4.446780780062854,1.8514327672168691,8.007553244199567,22.65944617012905,21.48120703430981,18.9999966722361,19.02093618029501,0.13012274021824297
18,0.9135226488276884,0.7583817741625127,4.481944226436555,1.91745806493258,8.071306714359336,22.52250286075339,21.35967073959528,18.99999708538982,19.07348878253547,0.13115873410833923
19,0.9721156084063011,0.7917384929225224,4.501089554148056,1.846457030003927,8.111400685480806,22.58226414611276,21.35529997583889,18.99999756326173,19.07491516623336,0.1318102611390631
20,1.0443119073235572,0.8491314706973434,4.513748555754979,1.8405082281919891,8.247700161967868,22.75151830776508,21.45614641405397,18.99999792570581,19.06191573199358,0.13402512763197788
21,1.5373000846836051,1.3115003829041891,4.551281617673556,2.559558984343195,9.959641069604546,22.91244285943213,21.56065092768189,18.99999817589158,19.08911690047267,0.16184416738107388
22,0.1217743079243552,0.0692153622464098,4.602070653101061,2.4573890962148397,7.2504494194866655,22.95446490866857,21.59330926486976,18.99999928396494,19.04944700718487,0.11781980306665832
23,0.2871310318781285,0.2546564173831445,4.658591227430134,2.6245972844558243,7.824975961147231,22.95833866573385,21.82455086438329,19.0000001557966,19.08600487854627,0.12715585936864252
24,1.124342236072436,1.022542597539015,4.71614236769673,2.67002291525136,9.53305011655954,22.98249714307402,21.9142648243886,19.00000043141599,19.13894101598029,0.15491206439409252
